,paths,target,resolution,sharpness,brightness,size,noise,Number of Anomalies,Anomaly
0,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/10-rotated2-rotated1-rotated1.jpg,fractured,"(224, 224)",73.8688703264509,82.44882015306122,150528,42.20579454287902,0,False
1,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/10-rotated3-rotated1.jpg,fractured,"(224, 224)",297.24049611788695,83.0428691007653,150528,41.81850266270492,0,False
2,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated1-rotated3.jpg,fractured,"(224, 224)",330.90910848405446,63.67352917729592,150528,56.98318006339575,2454,False
3,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated2-rotated1.jpg,fractured,"(224, 224)",432.52755168992644,68.60670440051021,150528,55.84101220845015,2763,True
4,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated2.jpg,fractured,"(224, 224)",567.5242757975981,71.26895328443878,150528,57.082232676875584,735,False
5,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated3-rotated1-rotated2.jpg,fractured,"(224, 224)",215.24481931977942,62.12147241709184,150528,56.90546963344703,2226,False
6,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated3-rotated1.jpg,fractured,"(224, 224)",317.23933651347,64.12777024872449,150528,56.30648628266117,2451,False
7,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated3-rotated2-rotated1.jpg,fractured,"(224, 224)",207.74796470529284,61.64469068877551,150528,57.01032299614685,2136,False
8,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated2-rotated1.jpg,fractured,"(224, 224)",236.25754992935066,77.9653619260204,150528,57.25595389301212,0,False
9,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated2-rotated2-rotated3.jpg,fractured,"(224, 224)",171.10095569740875,79.53467793367346,150528,56.16274015132909,0,False
10,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated2-rotated2.jpg,fractured,"(224, 224)",187.38290907332728,77.68413185586735,150528,57.51088253928034,0,False
11,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated3-rotated1.jpg,fractured,"(224, 224)",205.97315396074947,74.99198820153062,150528,59.19662363602736,0,False
12,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated3-rotated2-rotated2.jpg,fractured,"(224, 224)",166.04647292042213,76.18763950892857,150528,58.71538283042714,0,False
13,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated3-rotated3-rotated2.jpg,fractured,"(224, 224)",145.45236792280397,76.85640545280613,150528,58.249812231677275,0,False
14,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/102-rotated1-rotated1-rotated1.jpg,fractured,"(224, 224)",95.49800210910655,53.72901387117347,150528,42.28674701660439,168,False
15,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/102-rotated1-rotated1-rotated2.jpg,fractured,"(224, 224)",90.21261693119557,53.42289142219388,150528,42.399564715551605,168,False
16,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/102-rotated1-rotated2-rotated1.jpg,fractured,"(224, 224)",119.31437021372273,54.44258211096939,150528,41.772148615237256,225,False
17,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/102-rotated1-rotated3-rotated1.jpg,fractured,"(224, 224)",88.43207454681396,50.48417570153061,150528,42.73960244990905,183,False
18,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/102-rotated2-rotated1-rotated3.jpg,fractured,"(224, 224)",93.28733134875442,53.3957669005102,150528,42.35636810754661,183,False
19,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/103-rotated2-rotated3.jpg,fractured,"(224, 224)",121.30743338931653,57.4150390625,150528,55.70314066417966,3,False
20,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/103-rotated3-rotated1-rotated3.jpg,fractured,"(224, 224)",103.45231477641305,58.61641023596939,150528,55.47762631045208,0,False
21,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/103-rotated3-rotated3-rotated3.jpg,fractured,"(224, 224)",118.44175504098978,56.58193160076531,150528,56.45113366665954,0,False
22,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/104-rotated1-rotated3-rotated3.jpg,fractured,"(224, 224)",61.17748995315825,49.345723054846935,150528,63.94981873040967,0,False
23,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/104-rotated1-rotated3.jpg,fractured,"(224, 224)",190.62579715415765,49.94154575892857,150528,63.06777651593721,0,False
24,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/104-rotated1.jpg,fractured,"(224, 224)",262.4847602701247,51.39496970663265,150528,63.06785218951244,3,False
25,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/104-rotated2-rotated2.jpg,fractured,"(224, 224)",154.5711813914384,50.08516023596939,150528,63.13026175129092,0,False
26,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/104-rotated3-rotated2-rotated2.jpg,fractured,"(224, 224)",63.96840189973893,49.43217873086735,150528,63.902341674221326,0,False
27,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/104-rotated3-rotated2.jpg,fractured,"(224, 224)",327.36561942229616,51.22925302933673,150528,62.70771445219217,12,False
28,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/104-rotated3-rotated3.jpg,fractured,"(224, 224)",194.5177468661714,49.047632334183675,150528,63.556919265974955,3,False
29,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/104.jpg,fractured,"(962, 1358)",154.6952937410247,53.04106029106029,3919188,62.90217974841414,6000,True
30,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/105-rotated1-rotated1-rotated1.jpg,fractured,"(224, 224)",68.53808690189871,63.42376833545919,150528,50.0399613933312,0,False
31,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/105-rotated1-rotated2.jpg,fractured,"(224, 224)",189.4549586344937,65.8926777742347,150528,49.894256620441176,0,False
32,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/105-rotated1-rotated3.jpg,fractured,"(224, 224)",173.47208595792236,64.88167649872449,150528,50.37012214662208,0,False
33,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/105-rotated2-rotated1-rotated2.jpg,fractured,"(224, 224)",122.00310836301054,65.71892936862245,150528,50.317665365172225,0,False
34,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/105-rotated2-rotated2-rotated3.jpg,fractured,"(224, 224)",75.2859956291704,59.182198660714285,150528,50.038150372914686,0,False
35,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/105-rotated3-rotated3-rotated2.jpg,fractured,"(224, 224)",142.9264013563678,61.57467713647959,150528,50.39701676650159,0,False
36,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/106-rotated1-rotated1-rotated2.jpg,fractured,"(224, 224)",84.54734927284275,56.442801339285715,150528,43.52684153838997,63,False
37,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/106-rotated1-rotated3-rotated2.jpg,fractured,"(224, 224)",59.28391347533214,52.08603714923469,150528,43.41621798646195,141,False
38,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/106-rotated1-rotated3-rotated3.jpg,fractured,"(224, 224)",107.86504196554661,51.00478316326531,150528,44.030221580060285,144,False
39,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/106-rotated2-rotated2-rotated1.jpg,fractured,"(224, 224)",89.13926696777345,58.01177853954081,150528,43.02357287396365,63,False
40,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/106-rotated2-rotated2-rotated2.jpg,fractured,"(224, 224)",80.80228198781106,54.58834901147959,150528,43.915310486818846,99,False
41,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/106-rotated2-rotated2-rotated3.jpg,fractured,"(224, 224)",56.19932473495274,49.77688536352041,150528,43.43699833427013,138,False
42,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/106-rotated3-rotated1-rotated1.jpg,fractured,"(224, 224)",128.7413354795806,48.88329081632653,150528,42.695623029828496,210,False
43,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/106-rotated3-rotated1-rotated2.jpg,fractured,"(224, 224)",58.887257713419544,48.61796476403061,150528,42.78312892934977,180,False
44,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/106-rotated3-rotated3-rotated3.jpg,fractured,"(224, 224)",73.46893464977768,48.82370057397959,150528,43.54468552626442,153,False
45,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/107-rotated1-rotated1-rotated2.jpg,fractured,"(224, 224)",119.7198472755842,67.08898676658163,150528,40.020187247417816,1884,False
46,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/107-rotated1-rotated2-rotated1.jpg,fractured,"(224, 224)",152.2627227601286,66.58605707908163,150528,40.598973316547195,1821,False
47,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/107-rotated1.jpg,fractured,"(224, 224)",345.7110201233082,67.8549505739796,150528,39.63309190634599,2295,False
48,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/107-rotated3-rotated2-rotated1.jpg,fractured,"(224, 224)",144.0857163361339,61.57310267857143,150528,45.27744990713118,1134,False
49,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/107-rotated3-rotated3-rotated1.jpg,fractured,"(224, 224)",135.88392018219275,62.35724250637755,150528,44.583100503751496,1215,False
50,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/108-rotated1-rotated1-rotated2.jpg,fractured,"(224, 224)",117.80517728385307,66.13442681760205,150528,49.173150096693874,1866,False
51,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/108-rotated1-rotated3-rotated1.jpg,fractured,"(224, 224)",121.903206732709,63.381955516581634,150528,51.45843255542437,1311,False
52,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/108-rotated2-rotated3-rotated1.jpg,fractured,"(224, 224)",119.91746190804733,64.70079320790816,150528,50.38331050742049,1542,False
53,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/108-rotated3-rotated1-rotated2.jpg,fractured,"(224, 224)",112.76125436264093,65.26743861607143,150528,49.93464882628329,1542,False
54,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/109-rotated1-rotated3-rotated1.jpg,fractured,"(224, 224)",138.0478514254664,41.597536670918366,150528,43.475488695788364,1206,False
55,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/109-rotated2-rotated1.jpg,fractured,"(224, 224)",263.3467876858534,46.78411989795919,150528,43.27023007381907,1626,False
56,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/109-rotated3-rotated1-rotated1.jpg,fractured,"(224, 224)",193.17265893975085,43.976542570153065,150528,44.049210388811865,1338,False
57,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/109-rotated3-rotated1-rotated2.jpg,fractured,"(224, 224)",272.430996360604,44.02714445153061,150528,44.337599445555995,1443,False
58,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/109-rotated3-rotated1.jpg,fractured,"(224, 224)",188.6723029701872,43.11112882653061,150528,43.77038982444541,1344,False
59,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/109-rotated3-rotated2-rotated3.jpg,fractured,"(224, 224)",124.35520387837809,42.00263073979592,150528,43.781137255300635,1203,False
60,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/109-rotated3-rotated2.jpg,fractured,"(224, 224)",240.45627889192292,43.73662707270408,150528,43.8273129123639,1356,False
61,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/109-rotated3.jpg,fractured,"(224, 224)",598.7426162042103,46.825892857142854,150528,43.76026460307773,1728,False
62,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/11-rotated1-rotated1-rotated1.jpg,fractured,"(224, 224)",76.00968983907195,37.41133211096939,150528,46.74172156317232,2871,True
63,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/11-rotated1-rotated2.jpg,fractured,"(224, 224)",138.64094634931914,38.40156648596939,150528,46.79251412487342,2949,True
64,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/11-rotated2-rotated2-rotated2.jpg,fractured,"(224, 224)",85.48255092925899,35.043048469387756,150528,47.125314016224365,2991,True
65,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/11-rotated3.jpg,fractured,"(224, 224)",188.14575691612401,37.76128029336735,150528,47.028937416733896,2904,True
66,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/110-rotated1-rotated1-rotated3.jpg,fractured,"(224, 224)",220.1348246165684,71.40477519132654,150528,53.01197141249687,3,False
67,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/110-rotated1-rotated1.jpg,fractured,"(224, 224)",173.95327585570666,73.47458944515306,150528,50.99131367696543,0,False
68,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/110-rotated1-rotated2-rotated2.jpg,fractured,"(224, 224)",179.77801107853864,71.66677295918367,150528,52.288509810556434,0,False
69,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/110-rotated2-rotated1-rotated2.jpg,fractured,"(224, 224)",128.8355012037316,71.39411272321429,150528,52.806261220702844,0,False
70,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/110-rotated2-rotated1-rotated3.jpg,fractured,"(224, 224)",134.49897153434134,71.41912468112245,150528,52.79842256829889,0,False
71,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/110-rotated3-rotated1-rotated2.jpg,fractured,"(224, 224)",141.5794117171682,69.95683195153062,150528,53.641235860763885,0,False
72,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/111-rotated2-rotated1-rotated2.jpg,fractured,"(224, 224)",190.2977233403725,50.03061224489796,150528,55.389292395960034,720,False
73,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/111-rotated2-rotated3-rotated3.jpg,fractured,"(224, 224)",248.22851780482702,50.69579081632653,150528,55.09329267216967,648,False
74,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/111-rotated2-rotated3.jpg,fractured,"(224, 224)",234.6430558677715,48.960658482142854,150528,55.422669012871246,630,False
75,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/111-rotated3-rotated1-rotated3.jpg,fractured,"(224, 224)",134.27783272873106,48.77883848852041,150528,54.79285783589282,291,False
76,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/111-rotated3-rotated3-rotated1.jpg,fractured,"(224, 224)",141.89402952118755,49.015943877551024,150528,54.77501729828538,324,False
77,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/111-rotated3-rotated3-rotated2.jpg,fractured,"(224, 224)",138.87528778641786,49.030492665816325,150528,54.77188521314492,327,False
78,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/112-rotated1-rotated1-rotated2.jpg,fractured,"(224, 224)",170.50224789059794,68.1636041135204,150528,52.36519873028901,669,False
79,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/112-rotated1-rotated2.jpg,fractured,"(224, 224)",268.2936703329631,72.26048309948979,150528,50.66539855687834,783,False
80,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/112-rotated1-rotated3.jpg,fractured,"(224, 224)",256.3235755278537,67.6092753507653,150528,52.658343733591366,765,False
81,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/112-rotated1.jpg,fractured,"(224, 224)",534.4819138021282,74.57364078443878,150528,49.43319353383144,1005,False
82,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/112-rotated2-rotated2-rotated3.jpg,fractured,"(224, 224)",290.7708621896937,68.00201291454081,150528,52.704056107926945,768,False
83,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/112-rotated2-rotated3-rotated1.jpg,fractured,"(224, 224)",278.67595686231346,69.82130899234694,150528,52.018841762255136,801,False
84,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/112-rotated2-rotated3-rotated2.jpg,fractured,"(224, 224)",345.5536898029491,70.85445232780613,150528,51.5555483999319,735,False
85,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/112-rotated2-rotated3-rotated3.jpg,fractured,"(224, 224)",277.71160051337085,66.66009646045919,150528,52.96974499116897,777,False
86,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/112-rotated2-rotated3.jpg,fractured,"(224, 224)",293.33457742418557,74.15423708545919,150528,49.30186381359404,822,False
87,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/112.jpg,fractured,"(1962, 1220)",86.52253690231613,77.84377934860714,7180920,48.10061340729409,68217,True
88,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/113-rotated1-rotated2-rotated2.jpg,fractured,"(224, 224)",155.16616215918373,48.26024394132653,150528,48.625883203816535,1965,False
89,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/113-rotated2-rotated1-rotated1.jpg,fractured,"(224, 224)",162.6511893171114,44.19507334183673,150528,49.028732981866064,2217,False
90,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/113-rotated2-rotated2-rotated2.jpg,fractured,"(224, 224)",182.51866474294602,47.179567920918366,150528,48.80796611274954,2049,False
91,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/113-rotated2-rotated2-rotated3.jpg,fractured,"(224, 224)",155.15676584843547,44.608039700255105,150528,48.93167562102622,2190,False
92,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/113-rotated2-rotated2.jpg,fractured,"(224, 224)",251.9395246573261,47.14114317602041,150528,49.1802755809548,2130,False
93,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/113-rotated3-rotated2-rotated1.jpg,fractured,"(224, 224)",160.89022063851507,46.517598054846935,150528,48.93156771589273,2037,False
94,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/113-rotated3-rotated3-rotated3.jpg,fractured,"(224, 224)",159.60920808117675,44.05223612882653,150528,49.31658220916908,2073,False
95,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/113-rotated3-rotated3.jpg,fractured,"(224, 224)",284.5970303183146,44.628985969387756,150528,49.44244038040811,2217,False
96,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/114-rotated1-rotated3-rotated2.jpg,fractured,"(224, 224)",263.81460094650504,77.30554448341837,150528,54.8000217587197,42,False
97,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/114-rotated3-rotated1-rotated3.jpg,fractured,"(224, 224)",205.69654810562676,72.94429607780613,150528,58.59401365715127,6,False
98,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/115-rotated1-rotated2-rotated3.jpg,fractured,"(224, 224)",254.01148383670025,60.5234375,150528,50.19366639483046,402,False
99,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/115-rotated2-rotated1-rotated1.jpg,fractured,"(224, 224)",545.7970069871749,62.842793367346935,150528,48.648913205745515,477,False
100,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/115-rotated2-rotated1-rotated2.jpg,fractured,"(224, 224)",355.3970678755265,62.83627630739796,150528,48.254225770648056,420,False
