,target,length,readability,similarity
0,"Jose Mourinho reportedly targeting summer move for Koke .
Spanish midfielder has been key to Atletico Madrid's recent success .
Former Atletico defender Filipe Luis could be going back to Spain .",32,8.3,0.82
1,"Dimitri Harrell, 21, was arguing with Samirria White, 19, over his 'infidelity'
With three-month-old daughter in his arms, he apparently pulled out a gun .
He then shot his fiancée in the face at close range, killing her, officials said .
Now, Harrell has been charged with single count of second-degree murder .
He revealed to police he had stored the gun under his daughter's mattress .
Also claimed he shot victim accidentally while pulling weapon from pocket .
Harrell caused 'trust issues' after having two children with another woman .
In custody on $200,000 bail; if convicted, faces up to 40 years behind bars .",106,7.6,0.86
2,"Real Madrid boosted by Cristiano Ronaldo's yellow card was rescinded .
Carlo Ancelotti will be without Iker Casillas, Toni Kroos, James Rodriguez and Gareth Bale but Jese will start in the clash against Eibar .
Lionel Messi can reach 400 career goals if he scores another two .
Chelsea star Oscar is being touted for a move to Serie A side Juventus .",63,6.7,0.96
3,"Girl was outside shops in Brighton, East Sussex when she was attacked .
She received a puncture wound to her upper lip and was treated in hospital .
Police are hunting a man in his 50s with purple hair and brown moustache .",43,4.9,0.97
4,"Brayden Travis, from St Charles County, Missouri, has battled drug addiction since he was 15 and overdosed on heroin in early March .
The 18-year-old was left without medical attention for seven hours and suffered a stroke and severe brain damage .
Doctors told his parents he might be left in a vegetative state but he is now conscious and has made small improvements .
His mother shared a photo of him in hospital in a bid to deter others from taking drugs; the post has been shared more than 337,000 times .",93,9.6,0.99
5,"Graeme Swann revealed the exact moment Alastair Cook’s form turned .
If Adil Rashid was picked for the second Test he'd be England 666th player .
Devon Smith was the first Grenadan ever to score a Test run in Grenada .",41,4.7,0.99
6,"Arturo Vidal scored from the spot to give Juventus the advantage against Monaco in quarter-final tie .
The Chile international converted from the spot after Monaco defender Ricardo Carvalho fouled Alvaro Morata .
The initial contact from Carvalho on Spanish striker Morata appeared to come from outside of the area .",51,10.7,0.99
7,"Victor Wanyama has starred in the heart of Southampton's midfield .
Reports claim he has spoken to Arsene Wenger over a summer transfer .
Team-mate Morgan Schneiderlin has also been linked with the Gunners .
READ: Bacary Sagna insists he does not regret leaving Arsenal .
READ: Arsenal fans should give Cesc Fabregas a good welcome .",57,6.2,0.99
8,"Alan Pardew insists every player has a price, even Yannick Bolasie .
But Pardew says £20m price tag on Bolasie is too low .
The Crystal Palace manager says his whole squad is under-valued .",35,5.1,1.0
9,"Barry Wilmore and Terry Virts captured the footage on spacewalks .
The astronauts were carrying out repair work on the space station .
Video captures incredibly clear images of the earth from 250 miles .
Spacewalks were in preparation for commercial spacecraft arrival .",44,7.2,1.0
10,"PFA have announced their six-man shortlist for Young Player of the Year .
Harry Kane and Eden Hazard will among the front runners for the award .
Kane has scored 19 Premier League goals for Tottenham this season .
Hazard has been instrumental for table-toppers Chelsea this campaign .",49,5.3,1.0
11,"Human bones found at Gough's Cave in Cheddar Gorge, Somerset, bore cuts  and bite marks proving the people there engaged in ritual cannibalism .
The remains have been found to be 14,700 years ago and belonged to prehistoric modern human hunter-gatherers known as the Magdalenians .
Skulls found in the cave also had been cut and shaped into bowls and cups .
Researchers at the Natural History Museum in London believe cannibalism may have been regular part of disposing of dead relatives at the time .",86,10.1,1.0
12,"Newcastle face Swansea at St James' Park on Saturday afternoon .
Fans group AshleyOut.com have asked supporters to stand in 34th minute .
'Having a threadbare squad... yet having £34m in the bank not acceptable'
There will also be peaceful protests outside Sports Direct stores at 12.30 .",48,4.4,1.0
13,"Burnell Mitchell held over conspiracy to murder and terrorism offences .
The 61-year-old Muslim convert is brother of Boney M singer Liz Mitchell .
He was arrested by police investigating the death of Abdul Hadi Arwani .
Leslie Cooper, 36, has been charged with the Syrian-national's murder .
A 53-year-old woman was also arrested on suspicion of terrorism offences .",60,8.8,1.0
14,"V. Stiviano must pay back $2.6 million in gifts from Donald Sterling .
Sterling's wife claimed the ex-Clippers used the couple's money for the gifts .
The items included a Ferrari, two Bentleys and a Range Rover .",38,4.4,1.0
15,"Former EDL organiser Gary Field was spotted at a Ukip event in Kent .
Mr Field was tagged after he was convicted in 2013 for an assault .
One Labour canvasser said that Mr Field sprayed her with deodorant .
Mr Field said he did spray her but claimed the incident was just 'banter'",54,4.7,1.0
16,"SNP will vote against 'any bit of spending' it disagrees with after election .
Nationalist MPs could paralyse the UK government by blocking legislation .
Threat came as Labour's Angela Eagle said they would speak to any party .
SNP suggests it would hold Ed Miliband to ransom over Trident if he is PM .",55,5.9,1.0
17,"Hector Bellerin broke Theo Walcott's Arsenal sprint record last summer .
Arsenal defender Bellerin says the result has caused 'a bit of banter'
The Arsenal youngster has impressed at right back this season .
Return of Mathieu Debuchy leaves Arsene Wenger a decision to make .
Bellerin scored opening goal for Arsenal against Liverpool last week .",57,8.5,1.0
18,"Aston Villa striker Christian Benteke scored three against QPR on Tuesday .
Players from Belgium have now netted 48 Premier League goals this term .
English players have scored 255 goals - almost four times more than Spain .
A total of nine nations have just a single top-flight goal this season .
Players from 46 countries have scored a total of 800 goals during 2014-15 .",67,4.5,1.0
19,"Convicted killer Brett Matthew Paul Thomas, now 56, has been denied parole and cannot reapply for seven years .
Brett Matthew Paul Thomas and his friend Mark Titch were convicted in 1977 after committing four  murders during robbery attempts .
Lynette Duncan, one of the surviving daughters of a victim said that the day her mother died she learned that 'the boogeyman was real'",64,9.0,1.0
20,"Tyus Byrd, who is black, was recently elected mayor of Parma, Missouri .
She beat the white current mayor Randall Ramsey .
Six city officials quit their jobs shortly after Byrd won .
Two of those individuals are Trish Cohen, Parma's former police chief, and Rich Medley, the town's former assistant police chief .
Cohen has said she and Medley feared for their safety, since their home addresses had been shared online by Byrd's family members .
Medley has said after being told by Byrd's supporters that Parma's police officers were going to be fired, he decided to quit .
Byrd has said she doesn't know what the 'safety issues' were and that she 'never said anything about cleaning house'",120,8.5,1.0
21,"Kendra Moad of Kearns, Utah followed her grandfather out of the house Friday morning and into the driveway .
He did not see the 20-month-old toddler and ran her over as he pulled his truck up in the driveway to move the trash cans .
This is now the fourth time since August that a child was accidentally run over and killed in their own driveway by a family member in Utah .
Kendra suffered severe head trauma and was unconscious when workers arrived, and was pronounced dead shortly after at a nearby hospital .
The grandfather is not facing any charges at this time, but the case remains under investigation .",112,9.3,1.0
22,"Man United and Man City have over 8million followers each on Weibo .
Both clubs have more followers on the Chinese website than Twitter .
Guangzhou Evergrande Taobao are the third most followed club .
Barcelona are fourth, but Real Madrid are down in 18th place .
Five Premier League clubs feature in the top 12 on Weibo .
Interactive map on Twitter followers around the world .",68,4.9,1.0
23,"ISIS attacked the Baiji oil refinery Saturday .
The refinery, Iraq's largest, has long been a lucrative target for militants .",21,8.2,1.0
24,"Bayern Munich have only scored once in their last three games .
They needed penalties to beat Bayer Leverkusen in the German Cup .
Guardiola feels Munich miss Arjen Robben and Franck Ribery .",34,4.9,1.0
25,"Women are wearing the ribbon and posting pictures on social media .
The breast-lifting look is inspired by the anime character Hestia .
Ribbon is tied so that when the arms move up, the breasts are lifted .",38,6.7,1.0
26,"Brits each have on average three unwanted and unreturned items .
Four in 10 Britons have an average of £77 of unwanted online shopping .
More than 40 per cent simply 'could not be bothered' to return item .
Research also shows a third of adults have bought things they did not want .",54,4.6,1.0
27,"Ronnie Lungu successfully sued Wiltshire Police for race discrimination .
Acting sergeant was turned down for permanent role despite exam pass .
Tribunal rules he was singled out as 'marked man' due to his ethnicity .
Chief constable says he is 'concerned' and 'lessons will be learned'",47,6.4,1.0
28,"Maickel Melamed, 39, finished the race at 5am on Tuesday morning .
The Venezuelan athlete was supported and cheered on by dozens of friends as well as his physical trainers and volunteer team .
Melamed's condition makes it hard to just walk or move but this week he completed his fifth marathon .
He chose Boston to be his final marathon because he received a life-saving procedure in the city when he was child .",75,7.9,1.0
29,"Brad Pitt set up charity to build new houses after Hurricane Katrina in 2005 .
Make It Right Foundation embroiled in legal action after homes began to rot .
Claims it was lured into buying the special wood only to discover it rotted .
Charity is suing Timber Treatment Technologies for ‘in excess’ of $500k .",56,8.4,1.0
30,"Attachment was originally devised as part of an April Fool's joke .
But the LA-based firm has now announced it is making the case a reality .
Called Smart Boy, it attaches to a phone and works with existing cartridges .
Price and release details have not yet been announced .",51,5.5,1.0
31,"The Karen was towed at 10 knots during yesterday's alarming incident .
Took place 18 miles from Ardglass on southeast shore of Northern Ireland .
Officials believe Nato drills may have attracted the interest of the Russians .
Just three days ago, RAF Typhoons were sent to intercept two Russian aircraft near UK air space .",56,7.2,1.0
32,"Vera Maresova, 50, killed five women and one man over a four-year period .
Police said she committed the murders to make her workload easier .
Maresova, who has been dubbed 'Nurse Death locally, has admitted killing the victims with massive doses of potassium .
Drug caused the elderly patients' hearts to fail and eventually killed them .",58,7.4,1.0
33,"Chelsea held to stalemate with Arsenal at Emirates Stadium on Sunday .
Arsene Wenger has not beaten Chelsea boss Jose Mourinho in 13 games .
Cesc Fabregas returned to Arsenal for first time since leaving in 2011 .
Oscar had to be replaced at half-time after a collision with David Ospina .",52,6.8,1.0
34,"Dr Habeeb Latheef is accused of sexually assaulting three of his patients .
Assaults allegedly happened at Hendford Medical Centre in Yeovil .
One woman patient, 37, went to see GP with a stiff neck and headache .",38,6.7,1.0
35,"Henley and Partners's Visa Restrictions Index calculates travel freedom .
It is based on the number of countries citizens can visit visa-free .
The best passports include those from Finland, USA, Germany and the UK .
Lowest ranking countries include Iraq, Afghanistan and Pakistan .",45,7.3,1.0
36,"Manny Pacquiao appeared on Mario Lopez's Extra show on Wednesday .
That morning his hill runs and bag work were posted on Instagram .
The pair, who are friends, also sang a duet of Lionel Ritchie Hello .
The Filipino champion takes on Floyd Mayweather Jr on May 2 .",50,5.4,1.0
37,"Nancy Perry won't teach again at Dublin Middle School after giving students her highly critical personal opinion of President Barack Obama .
One student told his father, Jimmie Scott, who complained to the school and requested a parent-teacher conference .
She is the wife of a school board member and brought her husband along to parent-teacher meeting .
Scott says that Perry showed him what he described as propaganda and called the President a 'baby killer'
A superintendent has said Perry was already planning on retiring before the complaint about her behavior .",93,12.0,1.0
38,"Tracey Taylor was distraught following breakdown of 20 year relationship .
She had earlier burst into love-rival's home and attacker her and her ex .
Two days later she broke into the property and trashed the lounge .
Couple have two daughters aged 12 and four, and a son aged 15 together .",53,5.7,1.0
39,"Doctors, teachers and psychologists being trained to cope with rising tide .
The Exorcist film left cinema audiences green more than 40 years ago .
Experts are teaching ordinary Catholics how to recognise possession .
Course aims to help would-be exorcists distinguish demonic possession from psychological or medical conditions .",50,10.1,1.0
40,"Kiwi jihadi Mark Taylor posted a video inciting terror attacks on Anzac Day .
Australian and New Zealand authorities have increased security measures .
He told IS followers to 'stab' police officers or soldiers at Anzac services .
'Now is the time to commence your operations, even if it means you have to stab a few police officers, soldiers on Anzac Day and so be it.'
NZ Police Commissioner 'satisfied' appropriate measures are in place .",76,10.1,1.0
41,"Ronda Blaylock was just 14 years old in 1980 when she was found stabbed to death and brutally assaulted .
This after she and a friend had taken a ride home from a man after school in Rural Hall, North Carolina .
Town is some wholesome it was used as a model for Mayberry in 'The Andy Griffith Show'
Her friend was dropped off but Ronda was never seen again .
The man, now likely in his late fifties, has never been found .
Now police say that new DNA evidence as well as testimony from key witnesses has them close to solving the case .
Surry County Sheriff Graham Atkinson said in a press conference on Monday the man still lives in the area and they are close to finding him .",133,8.0,1.0
42,"Australian Fashion Report revealed the Australian-sold brands and companies that ignore the exploitation of their overseas workers .
Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were  some of the worst performers .
Etiko, Audrey Blue, Cotton On, H&M and Zara had some of the best scores .
75 per cent of companies don't know the source of all their fabrics and inputs .",74,7.5,1.0
43,"Bayern Munich face Bayer Leverkusen in the German Cup quarter-finals .
Pep Guardiola has just 16 fit players to pick from on Wednesday night .
Bastian Schweinsteiger, Arjen Robben and Franck Ribery all ruled out .
Guardiola believes Jerome Boateng is one of the world's best defenders .",48,6.4,1.0
44,"Dancers performed popular move in front of monument in southern Russia .
Video uploaded to YouTube as a recruitment tool for their dance school .
Jailing women for up to 15 days, court slammed 'erotic sexual twerk dance'
Just weeks ago Russian dance school was shut down after video emerged of students thrusting hips on stage .",57,8.0,1.0
45,"90 per cent of bets on the royal baby's sex have been on a girl .
One Scottish punter in Edinburgh placed a bet of £2,000 yesterday .
Favourite potential birth dates include the 18th, 19th and 20th April .
The Duchess of Cambridge's official due date is the 25th April .
Popular names include Alice, Victoria, Arthur and James .",61,4.1,1.0
46,"#firebrittmchenry has become a popular hashtag on Twitter .
Britt McHenry is a reporter for the sports network, and she is based in Washington .
She apologized on Twitter for losing control of her emotions, not taking the high road .",41,7.1,1.0
47,"Bayern Munich beat Porto 6-1 in their Champions League tie on Tuesday .
Result saw Bayern win quarter-final encounter 7-4 on aggregate .
It was the first-time Porto had reached that stage since the 2008-09 season .",37,6.5,1.0
48,"The PGA Tour star has earned extra brownie points with his growing legion of fans after calling out an online hater who abused his girlfriend .
Bikini model Alexis Randock had posted a photo on her Instagram account of her and her sister Nicole on the beach .
A troll called 'fatalsplash' then accused Alexis of being a 'gold digger' who didn't have to work .
Fowler quickly told the hater to 'get your facts straight', while Alexis informed him that she worked her 'butt off'",86,7.9,1.0
49,"Tim and Brandy Ward reared chickens and turkeys at home in Oso .
Mudslide on March 22 crushed the house, killed Brandy and their dogs .
Tim was buried under 25 feet of mud but was pulled to safety still alive .
He has spent a year trying to settle his $360,000 mortgage .
Last week, an anonymous donor paid the lot to Chase Bank .",66,2.1,1.0
